ID,0 to 0.5 km,0.5 to 1 km,1 to 1.5 km,1.5 to 2 km,2 to 2.5 km,2.5 to 3 km,3 to 3.5 km,3.5 to 4 km,4 to 4.5 km,4.5 to 5 km,5 to 5.5 km,5.5 to 6 km,6 to 6.5 km,6.5 to 7 km,7 to 7.5 km,7.5 to 8 km,8 to 8.5 km,8.5 to 9 km,9 to 9.5 km,9.5 to 10 km,>10 km
530,10,38,56,68,56,51,32,31,25,9,11,8,7,6,5,5,3,1,1,0,13
565,13,44,80,58,59,43,30,26,15,12,10,13,4,5,0,2,4,3,1,1,13
27,8,35,64,63,58,48,45,28,21,8,19,10,5,5,5,1,0,3,0,1,8
31,11,49,60,70,61,41,30,30,12,14,18,10,1,7,6,3,1,1,0,3,7
101,5,46,54,57,58,39,36,32,32,12,19,4,6,6,4,5,4,2,1,1,12
135,6,47,68,81,43,35,29,27,21,11,18,10,7,8,7,2,6,0,0,2,7
379,6,46,56,62,52,44,34,39,22,15,13,11,5,6,11,2,3,0,2,1,5
721,6,49,59,71,66,45,26,26,15,15,10,11,6,4,6,4,2,0,3,3,8
172,6,45,51,62,55,46,36,35,19,19,17,5,8,8,6,4,4,2,1,0,5
359,9,34,74,72,53,32,28,37,29,8,17,11,5,6,4,3,4,2,0,0,6
384,6,37,60,67,63,41,24,20,26,21,16,8,7,6,4,3,6,1,2,5,11
624,6,44,57,75,52,36,33,30,23,27,13,5,3,10,2,3,2,1,2,1,9
47,9,40,56,70,49,61,28,25,23,17,10,9,4,4,5,5,3,1,1,1,12
523,7,43,64,54,66,42,26,23,25,23,10,12,7,3,7,3,5,4,1,0,8
707,8,54,71,67,51,36,34,25,15,14,14,7,4,5,3,2,1,5,3,1,13
760,10,42,58,60,54,46,29,36,20,16,10,16,12,1,5,3,3,3,4,0,5
769,10,40,66,57,52,47,44,28,24,17,14,9,2,3,9,1,1,0,0,1,8
246,12,38,61,74,57,31,29,30,28,13,16,17,4,3,3,4,4,1,2,0,5
464,8,52,60,77,49,32,33,24,29,14,14,5,6,6,7,2,3,2,2,3,4
488,9,45,57,59,68,34,41,30,24,14,8,10,11,5,5,1,3,2,1,0,5
870,9,45,59,73,44,56,26,27,23,11,9,9,5,9,8,4,1,3,3,2,6
929,6,53,65,73,64,45,30,24,20,10,11,7,5,8,1,4,2,0,1,0,2
192,10,43,62,64,46,47,25,31,18,12,13,17,9,3,8,7,3,2,1,1,8
563,8,33,76,70,76,30,23,29,20,18,7,3,6,8,5,5,2,2,1,1,7
603,9,55,52,67,55,48,31,31,20,10,12,6,6,8,5,1,3,4,1,4,2
639,9,39,70,62,55,44,28,26,22,16,9,15,11,3,5,5,1,2,1,2,5
642,9,48,63,70,54,39,24,22,20,21,13,7,4,6,7,7,2,1,2,0,11
650,4,44,60,73,49,33,29,39,23,14,17,8,12,5,4,3,2,0,1,1,9
65,4,44,52,59,59,51,27,32,28,18,10,10,4,6,7,3,2,2,2,2,7
67,4,50,60,75,48,34,31,29,20,13,13,12,7,6,4,8,1,6,0,0,7
95,18,34,62,67,45,40,38,31,20,18,20,10,4,6,4,1,1,2,1,2,4
332,4,35,49,65,52,55,26,32,22,22,11,14,6,8,4,6,3,2,1,3,8
364,2,45,59,81,41,43,36,32,14,13,12,13,5,6,6,9,3,1,2,2,3
130,4,43,69,54,65,39,30,24,22,17,18,7,3,4,6,7,3,2,2,2,6
140,8,33,61,73,53,48,26,24,28,15,10,5,8,7,8,6,4,1,1,2,6
236,12,47,71,65,49,33,27,24,24,18,14,8,6,5,3,6,4,1,3,3,4
350,0,30,67,75,54,37,34,27,28,15,11,9,8,5,6,5,4,0,0,1,11
512,8,47,56,69,55,53,21,25,22,16,11,7,7,5,5,1,2,4,1,1,11
703,7,53,69,73,51,46,17,31,17,14,8,5,5,7,4,3,1,4,2,1,9
258,14,38,57,68,55,32,29,38,17,13,15,10,5,7,6,3,5,5,2,1,6
267,12,34,59,80,55,36,36,29,21,6,16,8,7,7,3,2,2,0,1,1,11
476,7,49,60,67,56,46,30,24,19,20,14,7,7,4,4,2,0,1,1,1,7
507,8,43,70,62,59,51,28,24,22,13,5,6,4,4,3,1,3,3,4,1,12
867,14,40,52,63,53,63,30,25,16,18,11,9,9,3,7,0,1,1,0,1,10
933,10,26,56,80,70,45,33,29,16,8,9,14,9,4,4,3,5,1,2,1,1
958,8,33,76,71,49,43,34,27,21,13,9,11,8,7,3,3,0,2,1,1,6
344,6,36,49,73,51,50,32,21,26,19,17,10,5,8,3,3,1,2,2,1,10
441,15,32,64,65,64,37,28,25,24,20,16,7,2,10,5,1,3,1,0,0,6
860,10,37,74,70,56,50,21,21,20,13,11,12,3,4,2,2,4,0,0,5,10
197,4,38,70,63,50,40,28,27,23,13,15,6,11,7,4,5,1,3,1,2,13
743,5,35,59,57,63,44,35,27,24,14,16,12,7,6,3,5,2,0,1,2,7
753,10,38,66,51,66,54,27,34,13,17,12,4,10,3,5,3,4,1,1,1,4
190,16,33,69,62,52,40,37,28,18,10,15,9,10,9,2,4,1,1,0,1,6
391,9,47,48,58,44,33,34,32,21,20,11,10,12,7,9,2,8,1,1,0,16
513,9,41,57,52,60,36,25,37,20,12,19,9,8,7,8,4,4,1,2,1,11
532,7,36,50,69,49,39,35,34,22,22,10,14,4,5,8,3,2,3,2,1,8
632,9,41,60,65,58,38,30,28,24,11,15,9,9,3,4,0,2,1,2,4,10
690,7,47,57,66,63,45,34,33,10,10,6,11,6,5,3,5,2,0,1,1,11
104,9,30,67,81,46,46,24,31,18,16,12,6,4,1,11,3,3,0,2,1,11
125,6,52,51,86,47,38,21,23,24,15,16,12,5,8,3,3,3,3,1,1,4
154,11,43,52,79,52,44,28,22,14,23,10,12,9,4,0,3,1,1,2,2,10
264,10,46,68,57,54,45,26,23,20,16,9,12,9,4,4,2,2,1,5,1,8
599,2,47,58,64,51,42,40,24,19,14,16,7,4,7,2,8,5,1,1,1,9
744,7,30,51,80,51,55,34,22,32,11,13,9,5,6,5,3,2,2,0,0,4
98,12,35,53,73,51,32,30,32,22,19,14,15,9,1,2,4,4,2,2,2,7
99,6,46,56,66,58,42,33,15,27,16,18,5,8,5,4,4,4,0,3,0,4
446,6,53,58,73,58,36,29,29,21,10,6,6,10,7,2,3,2,2,1,2,6
648,8,48,53,49,66,44,28,25,20,22,18,11,7,8,1,1,3,2,1,1,4
819,13,37,62,57,55,47,23,25,29,17,19,8,5,8,1,4,1,2,3,0,4
50,5,44,50,75,62,38,31,32,17,13,9,12,8,4,8,4,2,1,1,0,3
266,6,44,62,71,61,34,25,16,25,14,13,9,4,3,8,2,4,1,3,2,12
307,4,37,70,71,42,48,30,20,29,18,11,5,4,9,5,5,1,2,2,0,6
388,6,44,58,68,50,36,33,19,20,18,23,9,5,2,8,2,3,2,5,2,6
471,13,34,54,64,55,58,33,21,27,11,8,3,9,3,5,2,2,3,1,1,12
752,9,36,54,69,53,33,41,31,21,7,14,12,6,8,3,2,3,2,1,0,14
869,8,48,54,69,53,39,30,28,21,15,11,2,9,7,2,3,2,1,2,4,11
207,8,34,68,55,54,42,36,26,20,13,10,13,6,9,3,3,1,0,1,2,13
426,6,46,52,59,53,44,27,21,24,14,19,11,4,7,11,4,4,1,2,3,5
521,10,35,55,77,56,39,24,27,17,16,19,8,7,6,7,2,4,1,2,0,5
542,16,50,44,80,56,37,27,26,20,20,11,6,5,4,4,4,1,3,0,1,2
678,7,34,76,63,45,41,33,29,22,13,14,7,5,7,5,2,1,1,0,0,12
